,name,summary,property_type,room_type,bed_type,minimum_nights,maximum_nights,first_review,last_review,bedrooms,Country,Total_price,Review
2742,"Comfortable, cozy,  very nice location in moda cd","Very good location. Clean, nice, comfortable, the flat is on the street but very quite at the same time.",Apartment,Entire home/apt,Real Bed,3,1125,2018-03-25 04:00:00.000000000,2019-02-04 05:00:00.000000000,2.0,Turkey,221.0,20
2743,Habitación cerca a Sagrada Familia,"Cerca a Sagrada Familia (15 minutos. caminando), bus pasa por casa y metro esta a 3 calles. Habitación para 1 persona, ventana a patio interior, iluminada, con un colchón ortopédico, pequeño escritorio, armario, mesa.  Habitación recién pintada, limpia, aireada y decorada como las fotos. Es un piso tranquilo, ideal para descanso. Piso tranquilo no se permiten fiestas, es zona de descanso y relajarte.",Apartment,Private room,Real Bed,1,1125,2018-04-02 04:00:00.000000000,2019-02-22 05:00:00.000000000,1.0,Spain,18.0,0
2744,WONDERFUL APARTMENT NEAR PASEO DE GRACIA,"Beautiful, modern, elegant, bright and sunny floor of 100 meters located on the Gran Via, on the Eixemple of Barcelona. The apartment is located 10 minutes from Paseo de Gracia, Plaza Catalunya and Las Ramblas. Precioso, moderno, elegante, luminoso y soleado piso de 100 metros situado en la calle Gran Via, en el eixemple izquierdo de Barcelona. El piso se encuentra a 10 minutos de Paseo de Gracia,de Plaza Cataluña y Las Ramblas.",Apartment,Entire home/apt,Real Bed,2,1125,2018-06-03 04:00:00.000000000,2018-12-30 05:00:00.000000000,3.0,Spain,230.0,0
2745,Private room at Barra / Quarto privativo na Barra,"Private room located in Barra da Tijuca, only a block from the beach,  close to supermarkets, shopping centers, convention centers and the subway! Staying at my place you will have a clean and quiet space to relax, cable TV and high speed wireless internet. Quarto privativo na Barra, a apenas um quarteirão da praia, perto de supermercados, shoppings, centro de convenções e do metro! Se hospedando aqui você terá um espaço limpo e tranquilo para relaxar, TV a cabo e internet de alta velocidade.",Condominium,Private room,Real Bed,1,1125,2018-09-15 04:00:00.000000000,2018-09-22 04:00:00.000000000,1.0,Brazil,201.0,2
2746,Kama'iki,"Welcome to Kama’iki. We would love to share our little home near the beach with you. Kama’iki means small child, and Kama’iki is our small child. He sits on the property with two other houses. Kama’iki is the middle house, he is between a house on the road and a house on the beach. He has a gazebo on his makai side (Oceanside), where you can feel and hear the tropical breezes, smell the ocean mists, and hear the crashing waves. Perfect for just a peaceful,  relaxing, quiet vacation.",House,Entire home/apt,Real Bed,2,1125,2018-04-17 04:00:00.000000000,2018-06-29 04:00:00.000000000,2.0,United States,420.0,5
2747,"COME INN 2인실B(1더블침대) 침사취이역B1에서 5분거리, 한국어 영어 중국어가능","룸에 창문이 있어괘적합니다. tv,무선인터넷  기본 필수품 준비되어 있습니다 숙소바로 뒷편에 구룡의 랑콰이펑이라고 하는 거리가 있어 하루 여행의 피로를 확 날려 버릴수 있습니다 There is a window in the room and it makes the room pleasant. TV, wireless internet and basic necessities are ready in the room. Right behind our accommodation, there is a street called Kowloon’s Lan Kwai Fong and you can relieve the fatigue of your day trip. 房间里有窗户,所以很舒适｡室内已准备好电视､无线网络以及基本必需品｡ 在宿舍后边有一条路叫做九龙的兰桂坊,您可以消除一天旅程的疲劳｡",Apartment,Private room,Real Bed,1,30,2018-04-01 04:00:00.000000000,2019-02-23 05:00:00.000000000,1.0,Hong Kong,307.0,40
2748,-MAISON ALEXANDRA- 3 STOREY WATERFRONT PH FLOOR,"2 Luxurious, 3 storey waterfront designer penthouses, are easily combined into a very spacious 7 bedroom 4 bathroom unit (The Whole floor). Over 4000 sq ft! Exquisitely & fully furnished for maximum comfort in a unique art gallery type setting.  Located in Montreal's Old Port  waterfront neighborhood. Ideal for large families, groups or corporate business events. Steps away from museums, landmarks, shopping, upscale boutiques, fine dining and a vibrant nightlife scene.",Loft,Entire home/apt,Real Bed,2,1125,2018-04-09 04:00:00.000000000,2019-01-01 05:00:00.000000000,7.0,Canada,1600.0,9
2749,"Hong Kong University, MTR station 5 min walk away",Located near the Hong Kong University Campus and situated nicely in the city with public transport available nearby apartment to get all over Hong Kong.  This 2 bedroom is the perfect place to stay to get some nice quiet time after a busy day in city,Apartment,Entire home/apt,Real Bed,2,1125,2014-03-14 04:00:00.000000000,2019-02-09 05:00:00.000000000,2.0,Hong Kong,1947.0,63
2750,Spacious & Charming by Prospect Pk,"Large alcove studio apartment around the corner from Prospect Park and the Botanic Garden. 3 minute walk from subway (B, Q, S). Lots of cafes and restaurants nearby.",Apartment,Entire home/apt,Real Bed,14,30,2016-03-02 05:00:00.000000000,2018-12-19 05:00:00.000000000,1.0,United States,626.0,5
2751,Superbe maison vintage au cœur du plateau,"Grande maison avec une terrasse immense à l’arriére, située au plateau. Le merveilleux parc messier à 3 minutes de marche, plusieurs bars et restaurants sur la rue mont royale qui est à 1 minute de marche de la maison. 2 bus qui passent devant la porte, l'un emmène à la station mont royale en 8 minutes et l'autre à la station Frontenac en 5 minutes. La terrasse va être prête pour les bbq cet été.",House,Entire home/apt,Real Bed,4,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,3.0,Canada,284.0,0
2752,Central 3 Beds + Breakfast & Balcony (3A),"Nice and cozy room with one single bed and one double bed plus balcony right in the city centre. The bathroom is well equipped with all the basics elements needed. The mattresses are comfortable and spacious. The internet and breakfast are included. The room has a window , also a fan to refresh during the hot summer, I offer as well towels, shampoo, shower gel, ear plugs and my free time to share the best spots of Barcelona city for a perfect stay.",Apartment,Private room,Real Bed,1,1125,2018-04-01 04:00:00.000000000,2019-01-29 05:00:00.000000000,1.0,Spain,40.0,0
2753,2633 - AB Barceloneta - Artistic Style Apartment - Beachside apartment for 2 with balcony and WiFi,"This contemporary apartment is located in the Barceloneta district, just steps away from the beach and the Mediterranean Sea, offering a balcony, air conditioning and free Wi-Fi. Parc de la Ciutadella and the Arc de Triomf are just over 15 minutes’ walk away, and the city’s picturesque  Old Town is under 1km away where you can find the Picasso Museum, the Basilica de Santa Maria del Mar and the Palau de la Música Catalana. Barceloneta metro station is just 700 metres away.   The apartment accommodates 2 people, containing 1 double bed. The kitchen is equipped with a microwave, hob cooker and large fridge freezer. The apartment also contains a washing machine, flatscreen TV, and central heating.  Within a short walk you will find plenty of museums, restaurants, bars and shops. This neighbourhood is a great choice for those interested in the beach, local culture, landmarks and city stays. Metro: Barceloneta (L4)",Apartment,Entire home/apt,Real Bed,32,330,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Spain,180.0,0
