,name,summary,property_type,room_type,bed_type,minimum_nights,maximum_nights,first_review,last_review,bedrooms,Country,Total_price,Review
0,Horto flat with small garden,"One bedroom + sofa-bed in quiet and bucolic neighbourhood right next to the Botanical Garden. Small garden, outside shower, well equipped kitchen and bathroom with shower and tub. Easy for transport with many restaurants and basic facilities in the area.",Apartment,Entire home/apt,Real Bed,2,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Brazil,504.0,0
1,Ribeira Charming Duplex,"Fantastic duplex apartment with three bedrooms, located in the historic area of Porto, Ribeira (Cube) - UNESCO World Heritage Site. Centenary building fully rehabilitated, without losing their original character.",House,Entire home/apt,Real Bed,2,30,2016-01-03 05:00:00.000000000,2019-01-20 05:00:00.000000000,3.0,Portugal,315.0,51
2,Charming Flat in Downtown Moda,"Fully furnished 3+1 flat decorated with vintage style.  Located at the heart of Moda/Kadıköy, close to seaside and also to the public transportation (tram, metro, ferry, bus stations) 10 minutes walk.",House,Entire home/apt,Real Bed,2,1125,2016-04-02 04:00:00.000000000,2016-04-02 04:00:00.000000000,2.0,Turkey,738.0,1
3,Ótimo Apto proximo Parque Olimpico,Apartamento próximo ao centro dos Jogos Olímpicos 2016 a 6 Km do Parque Olímpico e próximo a praia. Infraestrutura total de transporte além de shoppings e comércio. Área nobre do Rio de Janeiro.,Apartment,Entire home/apt,Real Bed,15,20,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,2.0,Brazil,5446.0,0
4,Double Room en-suite (307),"A standard double room with a queen size double bed and with private bathroom. There is a working table, chair and a shelf. A clean and comfortable room.",Apartment,Private room,Real Bed,1,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Hong Kong,361.0,0
5,New York City - Upper West Side Apt,,Apartment,Private room,Real Bed,12,360,2013-04-29 04:00:00.000000000,2018-08-12 04:00:00.000000000,1.0,United States,270.0,70
6,Catete's Colonial Big Hause Room B,"Old floor, intirely reformed, destined to receive people in a very harmonious and welcoming place. Located at Catete's neighborhood, with a very easy access to the metro station, a lot of bus lines, next to a excellent trade and things to do around.",House,Private room,Real Bed,2,1125,2016-02-10 05:00:00.000000000,2016-02-10 05:00:00.000000000,1.0,Brazil,250.0,1
7,Be Happy in Porto,"Be Happy Apartment is an amazing space. Renovated and comfortable apartment, located in a building dating from the nineteenth century in one of the most emblematic streets of the Porto city ""Rua do Almada"".  Be Happy Apartment is located in the city center, able you to visit the historic center only by foot, being very close of majority points of interesting of the Porto City. Be Happy Apartment is located close of central Station MetroTrindade.",Loft,Entire home/apt,Real Bed,2,1125,2016-01-02 05:00:00.000000000,2019-02-09 05:00:00.000000000,1.0,Portugal,40.0,178
8,Ocean View Waikiki Marina w/prkg,"A short distance from Honolulu's billion dollar mall, and the same distance to Waikiki. Parking included. A great location that work perfectly for business, education, or simple visit. Experience Yacht Harbor views and 5 Star Hilton Hawaiian Village.",Condominium,Entire home/apt,Real Bed,3,365,2013-05-24 04:00:00.000000000,2019-02-07 05:00:00.000000000,1.0,United States,215.0,96
9,Apt Linda Vista Lagoa - Rio,"Quarto com vista para a Lagoa Rodrigo de Freitas, cartão postal do Rio de Janeiro. Linda Vista.  1 Quarto e 1 banheiro  Amplo, arejado, vaga na garagem. Prédio com piscina, sauna e playground.  Fácil acesso, próximo da praia e shoppings.",Apartment,Private room,Real Bed,1,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Brazil,1951.0,0
10,Deluxe Loft Suite,"Loft Suite Deluxe @ Henry Norman Hotel Located in Greenpoint, Brooklyn and housed in a converted 19th-century warehouse, the Henry Norman Hotel features modern lofts and suites with hardwood floors, antiques and contemporary art.",Apartment,Entire home/apt,Real Bed,3,1125,2016-01-03 05:00:00.000000000,2018-02-18 05:00:00.000000000,0.0,United States,205.0,5
11,"Soho Cozy, Spacious and Convenient","Clean, fully furnish, Spacious 1 bedroom flat just off the escalator in Mid Levels. 2 minutes From Soho Bar and Restaurants. Located in a quiet alley 1 minute from Sun Yat Sen",Apartment,Entire home/apt,Real Bed,4,20,2015-12-19 05:00:00.000000000,2018-03-27 04:00:00.000000000,1.0,Hong Kong,699.0,3
12,Nice room in Barcelona Center,Hi!  Cozy double bed room in amazing flat next to Passeig de Sant Joan and to metro stop Verdaguer. 3 streets to Sagrada Familia and 4 streets to Passeig de Gracia. Flat located in the center of the city.  View to Sagrada Familia and Torre Agbar.,Apartment,Private room,Real Bed,1,9,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Spain,160.0,0
13,Private Room in Bushwick,Here exists a very cozy room for rent in a shared 4-bedroom apartment. It is located one block off of the JMZ at Myrtle Broadway.  The neighborhood is diverse and appeals to a variety of people.,Apartment,Private room,Real Bed,14,1125,2016-01-31 05:00:00.000000000,2016-01-31 05:00:00.000000000,1.0,United States,40.0,1
14,Copacabana Apartment Posto 6,"The Apartment has a living room, toilet, bedroom (suite) and American kitchen. Well located, on the Copacabana beach block a 05 Min. walk from Ipanema beach (Arpoador). Internet wifi, cable tv, air conditioning in the bedroom, ceiling fans in the bedroom and living room, kitchen with microwave, cooker, Blender, dishes, cutlery and service area with fridge, washing machine, clothesline for drying clothes and closet with several utensils for use.  The property boasts 45 m2.",Apartment,Entire home/apt,Real Bed,3,75,2016-01-18 05:00:00.000000000,2019-01-28 05:00:00.000000000,1.0,Brazil,869.0,70
15,Modern Spacious 1 Bedroom Loft,"Prime location, amazing lighting and no annoying neighbours.  Good place to rent if you want a relaxing time in Montreal.",Apartment,Entire home/apt,Real Bed,1,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Canada,50.0,0
16,Ligne verte - à 15 min de métro du centre ville.,"À 30 secondes du métro Joliette. Belle grande cuisine, chambre et salon bien ensoleillé. Wifi et chrome cast inclus.",Apartment,Entire home/apt,Real Bed,2,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,0.0,Canada,43.0,0
17,3 chambres au coeur du Plateau,"Notre appartement comporte 3 chambres avec chacune un lit queen. Nous avons également un salon, une salle de bain avec baignoire, et une cuisine toute équipée, avec laveuse et sécheuse.",Apartment,Entire home/apt,Real Bed,1,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,3.0,Canada,140.0,0
18,City center private room with bed,"House is located 5mins walk from Sham Shui Po and Prince Edward MTR. The private room has a single bed and a big closet, with window. You can enjoy the living area, kitchen and bathroom.  Speaks great Eng, Mandarin & Cantonese.Lots of restaurant here",Guesthouse,Private room,Futon,1,500,2015-12-22 05:00:00.000000000,2019-03-01 05:00:00.000000000,1.0,Hong Kong,231.0,81
19,Surry Hills Studio - Your Perfect Base in Sydney,"This spacious, light filled studio has everything you need to enjoy Sydney and is the perfect base for exploring. The harbour is an easy walk, Bondi a short bus trip away.",Apartment,Entire home/apt,Real Bed,10,21,2016-12-29 05:00:00.000000000,2018-03-18 04:00:00.000000000,0.0,Australia,531.0,64
20,Sydney Hyde Park City Apartment (checkin from 6am),"Our city apartment is a bright, comfortable 1 bedroom with 24hr front-desk access. It is conveniently located directly across from Hyde Park and within walking distance of delightful cafes, restaurants, parks, major city attractions and public transport, including Museum Station which has a direct connection to Sydney Airport.",Apartment,Entire home/apt,Real Bed,2,30,2016-06-30 04:00:00.000000000,2019-03-06 05:00:00.000000000,1.0,Australia,1105.0,109
21,The LES Apartment,"Dear guests, Would you just like to live in the heart of the city that you would be eligible to go anywhere? If yes, you found the right place!",Apartment,Entire home/apt,Real Bed,3,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,United States,350.0,0
22,Room Close to LGA and 35 mins to Times Square,"A private small bedroom in a 2 BR 1BA apartment. There’s no living area as I converted to live in. The location is 2 minutes to Q33 bus stop, 5 minutes to 7 train station ( which directly takes you to Times Square in 35-40 minutes ).",Apartment,Private room,Real Bed,2,1125,2016-01-05 05:00:00.000000000,2018-11-28 05:00:00.000000000,1.0,United States,61.0,123
23,Easy 1 Bedroom in Chelsea,"A comfortable one bedroom for responsible guests. Plenty of natural light. Walk up building. You'll feel like a local staying in this residential neighborhood, right next to great food, bars, subways, the High Line, Chelsea Piers, etc.",Apartment,Entire home/apt,Real Bed,2,1125,2016-01-03 05:00:00.000000000,2016-01-03 05:00:00.000000000,1.0,United States,205.0,1
24,GOLF ROYAL RESİDENCE TAXİM(1+1):3,"our place situated at the middle of beautiful places such as nişantaşi street just 5 min walking and osmanbey these streets are full of markets,resturants also  we are 1.2 kilo metere far from taksim square and istiklal street one of the most famous",Serviced apartment,Entire home/apt,Real Bed,1,1125,2016-02-01 05:00:00.000000000,2017-08-07 04:00:00.000000000,2.0,Turkey,838.0,3
25,A Casa Alegre é um apartamento T1.,"Para 2 pessoas. Vista de mar a 150 mts. Prédio com 2 elevadores. Tem: - quarto com roupeiro e cama de casal (colchão magnetizado); - cozinha: placa de discos, exaustor, frigorifico, micro-ondas e torradeira; casa de banho completa; - sala e varanda.",Apartment,Entire home/apt,Real Bed,7,180,2016-04-19 04:00:00.000000000,2017-08-27 04:00:00.000000000,1.0,Portugal,305.0,12
26,Double and triple rooms Blue mosque,,Bed and breakfast,Private room,Real Bed,1,1125,2017-05-04 04:00:00.000000000,2018-05-07 04:00:00.000000000,1.0,Turkey,121.0,29
27,A bedroom far away from home,"NOTES: BEFORE BOOKING, PLEASE KNOW THAT WE ARE LOCATED ON THE 3RD FLOOR OF A WALK UP BUILDING (3 SHORT FLIGHT OF (Website hidden by Airbnb) IF YOU HAVE TROUBLE CLIMBING STAIRS, BE ADVISED, THANKS! THE CHECK-IN TIME IS STRICTLY BETWEEN 1PM-10PM.. AND CHECK OUT IS 11AM THIS LISTING IS ONLY FOR A BEDROOM AND NOT THE ENTIRE APARTMENT.",Apartment,Private room,Real Bed,1,10,2016-01-06 05:00:00.000000000,2019-03-03 05:00:00.000000000,1.0,United States,45.0,239
28,THE Place to See Sydney's FIREWORKS,"The ultimate way to experience Sydney Harbour; fireworks, the bridge, and the proximity to the city means you can experience everything this city has to offer.  Tucked into the Balmain Peninsula, you're close to parks, pubs, shops, buses, and more!",House,Entire home/apt,Real Bed,2,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Australia,800.0,0
29,GOLF ROYAL RESIDENCE SUİTES(2+1)-2,"A BIG BED ROOM WITH A BIG SALOON INCLUDING A NICE BALAKON TO HAVE SOME FRESH AIR . OUR RESIDENCE SITUATED AT THE CENTRE OF THE IMPORTANT MARKETS SUCH AS NİŞANTAŞİ,OSMANBEY AND TAKSIM SQUARE,",Serviced apartment,Entire home/apt,Real Bed,1,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,2.0,Turkey,997.0,0
30,Cozy house at Beyoğlu,"Hello dear Guests, wellcome to istanbul. My House is 2+1 and at second floor. 1 privite room is for my international guests. House is Very close to Taksim Square. You can Walk in 30 minutes or you can take a bus.  The bus stop is only 100 m from home. You can go Taksim, Eminönü, Karaköy, Kadıköy, Beyazıt, Sultanahmet easily from home.  I have 1 bed, two people can sleep together. Second person should pay extra. You can use kitchen, bathroom, free Wifi, dishwasher, washing machine, Ironing.",Apartment,Private room,Pull-out Sofa,2,1125,2017-10-08 04:00:00.000000000,2018-12-21 05:00:00.000000000,1.0,Turkey,58.0,27
31,Downtown Oporto Inn (room cleaning),"Tradicional building, with high ceilings next to City Hall or Trindade Subway station, at a short walking distance from the historic center of this beautiful city. R It is the property of a book novel writer.",Hostel,Private room,Real Bed,1,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Portugal,90.0,0
32,Apartamento zona sul do RJ,"próximo aos principais pontos turísticos,,do lado do metro, vista p o CRISTO REDENTOR, GARAGEM, FAXINEIRA, PLAY.",Apartment,Entire home/apt,Real Bed,1,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,3.0,Brazil,933.0,0
33,2 bedroom Upper east side,"Near 70th and 1st.  A very nice 6th floor walk-up with true 2 bedrooms and one bath. Full Kitchen. One bedroom has a queen and the other a double.  Living room has a couch you could sleep on too. New powerful air conditioner cools whole apt. Great area with restaurants, shopping and walk to Central Park Please contact us first if reserving on same day, we might need time to arrange for keys. Holiday weekends we prefer 3 night stays. Thank you!",Apartment,Entire home/apt,Real Bed,2,7,2016-05-28 04:00:00.000000000,2017-08-19 04:00:00.000000000,2.0,United States,310.0,9
34,Uygun nezih daire,,Apartment,Entire home/apt,Real Bed,1,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Turkey,817.0,0
35,Large railroad style 3 bedroom apt in Manhattan!,Spacious 3 bedroom apartment. 2 are railroad style (must go through one to get to the next) and the additional bedroom is at opposite end of the apartment for extra privacy. Well equipped open kitchen. Large living room with additional fold out couch. Great apt for a weekend in NYC.  10 min walk to Central Park.,Apartment,Entire home/apt,Real Bed,3,6,2016-01-03 05:00:00.000000000,2019-01-01 05:00:00.000000000,3.0,United States,438.0,22
36,Roof double bed private room,"Near to underground metro station. Walking distance to seaside. 2 floors 1 entry. Husband, wife, girl and boy is living.",Loft,Private room,Real Bed,1,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Turkey,185.0,0
37,Cozy aptartment in Recreio (near Olympic Venues),"Cozy and comfortable apartment. Ideal for families and vacations.  3 bedrooms, 2 of them suites.  Located 20-min walk to the beach and close to the Rio 2016 Olympics Venues. Situated in a modern and secure condominium, with many entertainment available options around.",Apartment,Entire home/apt,Real Bed,2,30,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,3.0,Brazil,1119.0,0
38,Cozy double bed room 東涌鄉村雅緻雙人房,"A comfortable double bed room at G/F. Independent entrance. High privacy. The room size is around 100 sq.ft. with a 48""x72"" double bed. The village house is close to the Hong Kong Airport, AsiaWorld-Expo, HongKong-Zhuhai-Macau Bridge, Disneyland, Citygate outlets, 360 Cable car, shopping centre, main tourist attractions......",Guesthouse,Private room,Real Bed,1,1125,2016-07-29 04:00:00.000000000,2019-02-18 05:00:00.000000000,1.0,Hong Kong,487.0,162
39,"Friendly Apartment, 10m from Manly",A friendly apartment block where everyone knows each other and there is a strong communal vibe. Property has a huge backyard with vege garden and skate ramp. 7min walk to the beach and 2min to buses.,Apartment,Private room,Real Bed,1,1125,2016-01-24 05:00:00.000000000,2016-02-16 05:00:00.000000000,1.0,Australia,36.0,4
40,Cozy Queen Guest Room&My,"Mong Kok MTR E1 walk 100 meters, shopping, eating is very convenient. There are two large beds, private bathroom, hot water 24 hours within simple and clean and comfortable rooms. Free WIFI. A21 Airport Express shuttle. Highly recommended to stay.",Apartment,Private room,Real Bed,1,500,2016-07-13 04:00:00.000000000,2018-11-06 05:00:00.000000000,1.0,Hong Kong,330.0,9
41,Your spot in Copacabana,"Having a large airy living room. The apartment is well divided. Fully furnished and cozy. The building has a 24h doorman and camera services in the corridors. It is very well located, close to the beach, restaurants, pubs and several shops and supermarkets. And it offers a good mobility being close to the subway.",Apartment,Entire home/apt,Real Bed,2,15,2016-08-13 04:00:00.000000000,2018-03-18 04:00:00.000000000,2.0,Brazil,1448.0,8
42,"Big, Bright & Convenient Sheung Wan",Hollywood Rd Studio Only 1 apartment per floor 650sqft! Fast Wifi and Kitchen! Daily Housekeeping! NEAR 3min walk from MTR 3min walk from Escalators 5min walk from LKF (Please note I live here so some belongings kept in wardrobe),Apartment,Entire home/apt,Real Bed,2,1125,2016-01-06 05:00:00.000000000,2016-01-06 05:00:00.000000000,0.0,Hong Kong,1084.0,1
43,Resort-like living in Williamsburg,"Amazing Apt : 1 bdrm/1 bathroom furnished, New building with a doorman, jacuzzi, gym, pool, and roofdeck with an amazing Manhattan view.  Very good location : 4-Minutes walk to the L subway station, then Just 3 stops away from Manhattan.",Apartment,Entire home/apt,Real Bed,5,1125,2016-01-01 05:00:00.000000000,2016-01-01 05:00:00.000000000,2.0,United States,245.0,1
44,"Cozy Nest, heart of the Plateau","Come spend a few days (or weeks) in our beautiful and cozy apartment situated in the heart of Montreal's most happening neighborhood! You will share the space with me as, maybe another guest and probably a cute cat or kitten (I sometimes foster cute little furry balls). LGBTQ friendly :) Looking forward to meeting you!",Apartment,Private room,Real Bed,2,120,2014-06-22 04:00:00.000000000,2019-01-08 05:00:00.000000000,1.0,Canada,59.0,62
45,Great studio opp. Narrabeen Lake,Great studio apartment freshly painted and decorated.  Queen bed also with a pull-out sofa bed  Separate bathroom with fully equipped laundry.  Located across from Narrabeen Lake.  8km walk around lake - or borrow our bikes. Kayak/stand-up paddle boards available for hire. Short walk to Narrabeen beaches/Woollies/shops and main bus line to the city on Pittwater Road. 20 minutes to Manly and Manly wharf or take a stunning ferry ride to Sydney city or the new express B-line double-decker bus.,Apartment,Entire home/apt,Real Bed,1,1125,2016-01-23 05:00:00.000000000,2019-01-06 05:00:00.000000000,0.0,Australia,117.0,61
46,"Kailua-Kona, Kona Coast II 2b condo",,Apartment,Entire home/apt,Real Bed,7,7,2018-06-15 04:00:00.000000000,2018-06-15 04:00:00.000000000,2.0,United States,335.0,1
47,"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!","THIS IS A VERY SPACIOUS 1 BEDROOM FULL CONDO (SLEEPS 4) AT THE BEAUTIFUL VALLEY ISLE RESORT ON THE BEACH IN LAHAINA, MAUI!! YOU WILL LOVE THE PERFECT LOCATION OF THIS VERY NICE HIGH RISE! ALSO THIS SPACIOUS FULL CONDO, FULL KITCHEN, BIG BALCONY!!",Condominium,Entire home/apt,Real Bed,1,1125,2016-02-20 05:00:00.000000000,2016-02-20 05:00:00.000000000,1.0,United States,598.0,1
48,Private Room (2)  in Guest House at Coogee Beach,"Room 2  Private room in charming recently renovated federation guest house at Coogee Beach. Prices are per room for 2 People only. A queen  and a single bed. Not suitable for group booking All rooms have  TV, desk, wardrobe, beds, unlimited wifi 2 mins from the beach, cafes and transport. This is not a party house but a safe and clean place to stay. Share bathrooms and kitchen... All common areas are cleaned daily.",House,Private room,Real Bed,3,365,2013-07-15 04:00:00.000000000,2017-12-01 05:00:00.000000000,1.0,Australia,94.0,8
49,Apto semi mobiliado,"Proximidade de comércio, serviços e transporte. Distante da poeira, bagunça e barulheira. Ambiente familiar e tranquilo.",Apartment,Entire home/apt,Real Bed,1,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,2.0,Brazil,380.0,0
50,Ipanema: moderno apê 2BR + garagem,"Moderno apartamento de 2 quartos com garagem em bucólica rua de Ipanema, a poucos metros da Lagoa Rodrigo de Freitas.",Apartment,Entire home/apt,Real Bed,4,1125,2016-02-23 05:00:00.000000000,2019-01-28 05:00:00.000000000,2.0,Brazil,1078.0,24
51,Quarto inteiro na Tijuca,"O quarto disponível tem uma cama de solteiro, sofá e computador tipo desktop para acomodação.",Apartment,Private room,Real Bed,1,15,2016-05-26 04:00:00.000000000,2016-05-26 04:00:00.000000000,1.0,Brazil,179.0,1
52,Twin Bed room+MTR Mongkok shopping&My,"Dining shopping conveniently located Mongkok subway E1, airport shuttle bus stops A21. Three live two beds, separate WC, 24-hour hot water. Free WIFI.",Apartment,Private room,Real Bed,1,500,2016-08-28 04:00:00.000000000,2018-07-12 04:00:00.000000000,1.0,Hong Kong,400.0,22
53,~Ao Lele~ Flying Cloud,"Tucked in emerald treetops, on the far western edge of a natural reserve, a cedar cabin outlooks the native rain forest 1.4 miles (2.2km) from Nāhuku (Thurston Lava Tube) in Hawaiʻi Volcanoes National Park. This sojourn allows one a presence with the environment, to embark on adventures around the island, and be at ease afterward. Your occasional companions include moonlit mist-laden trades, the subtle glow of the Milky Way, and peaceful morning light as melodic birds dart about the lanai.",Treehouse,Entire home/apt,Real Bed,2,30,2016-08-08 04:00:00.000000000,2019-02-19 05:00:00.000000000,1.0,United States,565.0,103
54,Alugo Apart frente mar Barra Tijuca,"Residencial com Serviços, Sala em 2 ambientes,varanda,quarto,cozinha,wc. Frente para o Mar da Barra, condomínio com piscina aquecida, sauna, hidromassagem,salões de festa,academia,cabeleireiro,play, mobiliado com todos os eletrodomésticos.",Apartment,Entire home/apt,Real Bed,10,90,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Brazil,933.0,0
55,IPANEMA LUXURY PENTHOUSE with MAID,"IPANEMA Penthouse is located in the most famous and trendy area of Rio de Janeiro. It has a unbreathtake view of the Lake, Redimer Christ, Pedra da Gavea and 2 Irmãos mountains. Great for 2 people! If 4 (we can put 2 inflate coushion at the floor)",Apartment,Entire home/apt,Real Bed,1,1125,2016-12-04 05:00:00.000000000,2018-12-12 05:00:00.000000000,1.0,Brazil,2835.0,29
56,"Amazing and Big Apt, Ipanema Beach.","Fantastic apt for 6 people a block from the beach of Ipanema.  Fun, comfort and do everything on foot: bars, restaurants or stroll through the neighborhoods Leblon and Copacabana. In the Carnival, ""Banda de Ipanema"", show up in front of the building.",Apartment,Entire home/apt,Real Bed,1,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,3.0,Brazil,1999.0,0
57,Small Room w Bathroom Flamengo Rio de Janeiro,"Small room! It's a backdoor bedroom that it has its own bathroom for better privacy and also there is an equipped kitchen for you to use. Our apartment is very close to the subway, so in 10min you arrive in Copacabana and 15min in Ipanema.",Apartment,Private room,Real Bed,4,1125,2016-08-20 04:00:00.000000000,2016-08-20 04:00:00.000000000,1.0,Brazil,91.0,1
58,Cozy Art Top Floor Apt in PRIME Williamsburg!,"My Apt it's right in the middle of the best and hot spots in the heart of REAL Williamsburg on Bedford Ave. Close to everything. 4 Subway stations (L/G/JMZ) around, same distance all! Very chill and cozy! 2 people only. No kids and pets please.",Apartment,Entire home/apt,Real Bed,2,300,2013-09-21 04:00:00.000000000,2019-02-18 05:00:00.000000000,1.0,United States,565.0,117
59,Makaha Valley Paradise with OceanView,"A beautiful and comfortable 1 Bedroom Air Conditioned Condo in Makaha Valley - stunning Ocean & Mountain views All the amenities of home, suited for longer stays. Full kitchen & large bathroom.  Several gas BBQ's for all guests to use & a large heated pool surrounded by reclining chairs to sunbathe.  The Ocean you see in the pictures is not even a mile away, known as the famous Makaha Surfing Beach. Golfing, hiking,snorkeling  paddle boarding, surfing are all just minutes from the front door.",Condominium,Entire home/apt,Pull-out Sofa,3,180,2016-06-18 04:00:00.000000000,2019-02-28 05:00:00.000000000,1.0,United States,225.0,32
60,FloresRooms 3T,"FloresRooms esta situado no coração da cidade do Porto. Tem disponível Internet por wireless e TV por cabo, como maquina de café , frigorífico e micro-ondas.",Apartment,Entire home/apt,Real Bed,2,1124,2016-01-18 05:00:00.000000000,2019-02-01 05:00:00.000000000,0.0,Portugal,241.0,225
61,UWS Brownstone Near Central Park,"This spacious one bedroom apartment has a bonus space with two extra beds as well as a fold out sofa.  Close to the park, the subway, museums and restaurants.  This apartment is the perfect quiet getaway in the middle of Manhattan.",Apartment,Entire home/apt,Real Bed,21,30,2011-05-29 04:00:00.000000000,2018-01-01 05:00:00.000000000,1.0,United States,607.0,45
62,Private OceanFront - Bathtub Beach. Spacious House,"Ocean Living! Secluded Secret Beach! Less than 20 steps to the Ocean! This spacious 4 Bedroom and 4 Bath house has all you need for your family or group. Perfect for Family Vacations and executive retreats. We are in a gated beachfront estate, with lots of space for your activities.",House,Entire home/apt,Real Bed,3,1125,2016-01-24 05:00:00.000000000,2019-02-19 05:00:00.000000000,4.0,United States,2140.0,32
63,A large sunny bedroom,"A large, sunny , affordable and very clean room in a fully renovated 2-bedroom apartment with only 2 mins walk to D train at Bronx.",Apartment,Private room,Real Bed,3,1125,2016-08-05 04:00:00.000000000,2016-08-20 04:00:00.000000000,1.0,United States,35.0,2
64,Room For Erasmus,"Hello, flat is located at Göztepe, 10 mins away from Kadikoy. Rent is 800 Turkish Liras and it includes all the bills, and plus, the cleaning is carried by cleaning lady once a month. Please feel free to contact for more information :)",Apartment,Private room,Real Bed,1,1125,2017-12-27 05:00:00.000000000,2017-12-27 05:00:00.000000000,2.0,Turkey,37.0,1
65,Quarto Taquara - Jacarepaguá,"Quarto exclusivo com armário e sofá cama de casal, possui ainda um colchão de casal. Apartamento localizado próximo a estação do BRT - Aracy Cabral - Bairro da Taquara - Jacarepaguá de fácil acesso aos bairros da Barra da Tijuca, Recreio, etc.",Apartment,Private room,Real Bed,2,1125,2016-05-16 04:00:00.000000000,2016-05-16 04:00:00.000000000,1.0,Brazil,349.0,1
66,,"We have 2 cozy rooms available from january 12 to february 6 in a very centered location Hisarüstü, Sarıyer. Easy  access to places like beşiktaş, taksim, mecidiyeköy, istinye, bebek, etiler with just one bus or metro. Balcony with a Bosphorus view:)",Apartment,Private room,Real Bed,1,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Turkey,105.0,0
67,luxury apartment in istanbul taxsim,,Apartment,Entire home/apt,Real Bed,2,1125,2013-04-18 04:00:00.000000000,2019-02-04 05:00:00.000000000,1.0,Turkey,329.0,135
68,Suíte em local tranquilo e seguro,"Casa próxima à Barra em Jacarepaguá, com piscina, churrasqueira e internet. Facilidade de deslocamento à Barra e Centro da Cidade.",House,Private room,Real Bed,1,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Brazil,601.0,0
69,Best location 1BR Apt in HK - Shops & Sights,"Welcome to my apartment, 1BR newly renovated and furnished. Located in the heart of Hong Kong's shopping, food and culture center.  1 minute walk to TST MTR station, airport transfer and all major transport.",Apartment,Entire home/apt,Real Bed,1,60,2016-02-09 05:00:00.000000000,2019-02-06 05:00:00.000000000,1.0,Hong Kong,2377.0,145
70,BBC OPORTO 4X2,,Apartment,Entire home/apt,Real Bed,3,1125,2014-04-17 04:00:00.000000000,2018-12-30 05:00:00.000000000,4.0,Portugal,100.0,71
71,Apartamento Mobiliado - Lgo do Machado,"Apartamento todo mobiliado, novo e muito bem localizado a apenas uma quadra do metrô do Largo do Machado. Possui 1 quarto com cama de casal, armários e TV de 42"" HD. A sala possui um sofá-cama de casal e TV de 47"" com home theater. Cozinha equipada.",Apartment,Entire home/apt,Real Bed,30,365,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Brazil,1209.0,0
72,Pousada das Colonias,"Existe um Lugar... perto do mar e da floresta Área de Proteção Ambiental a Reserva Biológica da Praia da Barra da Tijuca e Parque Nacional da Tijuca. Um lugar de tranquilidade, segurança e conforto, onde você vai se sentir em casa.",Bed and breakfast,Private room,Real Bed,1,1125,2016-09-18 04:00:00.000000000,2019-02-03 05:00:00.000000000,1.0,Brazil,138.0,9
73,Banyan Bungalow,The place to be on the north shore is where you can be steps from the ocean and watch the stars at night.  Our 2 acre property (with tropical greenhouses) hosts a quiet cottage with private driveway/private access.,Bungalow,Entire home/apt,Real Bed,2,300,2016-01-29 05:00:00.000000000,2019-02-19 05:00:00.000000000,0.0,United States,430.0,99
74,(1) Beach Guest House - Go Make A Trip,(1) Double Room With Private Bathroom: 1 Double Bed,Bed and breakfast,Private room,Real Bed,1,1125,2016-02-11 05:00:00.000000000,2017-09-22 04:00:00.000000000,1.0,Brazil,112.0,11
75,Sala e quarto em copacabana com cozinha americana,"Apartamento novo e reformado, em prédio residencial. Cozinha americana, quarto virado para uma reserva, muito silencioso, vista para árvores. Possui ar condicionado novo, internet, máquina de lavar roupas.  Tudo novinho. O apartamento fica localizado a 3 quadras da praia, perto do metrô cardeal arco verde, com muitos restaurantes, mercados e shoppings perto.",Apartment,Entire home/apt,Real Bed,4,1125,2016-11-27 16:08:28.855291648,2018-08-15 20:18:09.416846848,1.0,Brazil,298.0,0
